"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PgB23_g023",478.522849279814,-0.530464666756852,0.163387498585915,-3.24666618528293,0.00116765255783425,0.034842783826599
"PgB23_g032",3045.188437697,0.520182893072699,0.115521439963628,4.50291212814245,6.7028602942019e-06,0.00155849295863792
"PgB45_g001",249.428344318506,-4.65552453579303,1.27728881539974,-3.64484874498494,0.000267549107829518,0.0152183086284776
"PgE018_g002",37.6407629340241,-14.4366312727307,2.25659871438463,-6.39751816780924,1.57922695526349e-10,1.57891110987244e-06
"PgE019_g001",69.8783458820636,-5.36107273962223,1.3384368951329,-4.00547292077591,6.18935244380255e-05,0.00589947711803571
"PgE127_g001",40.8709411158476,7.9328718213122,1.64145673558064,4.83282419168121,1.34609654633338e-06,0.00061994275122623
"PgE182_g003",65.9798979902784,-3.60507603988814,1.11902430636633,-3.22162442708188,0.00127466101866993,0.0366208645536263
"PgE451_g001",63.5934732819024,-0.58032691918585,0.181815351482793,-3.19184774252009,0.00141365829983973,0.0391953281207614
"PgE529_g001",283.399865862647,0.75897431674781,0.169315640469782,4.48260015815411,7.37390144533144e-06,0.00167555151478236
"PgR001X_g032",58.6403489442083,0.892463088881583,0.261043935384886,3.41882330101148,0.000628925536332713,0.024924924208017
"PgR001X_g079",29.8923503856808,3.12854947337085,0.828409421105,3.77657399066965,0.000159000341023164,0.0109147211017174
"PgR001X_g136",31.6389178751426,-2.00644898904657,0.643497875854881,-3.11803513940278,0.00182061095477683,0.0452797719548726
"PgR001X_g229",3337.9674025349,0.672137707216411,0.21357359785866,3.14710111153918,0.00164897928278339,0.043045678509839
"PgR002_g011",28.5771836941045,-5.42138599683617,1.18466484700852,-4.57630359381905,4.73263605910001e-06,0.00126560829121799
"PgR002_g065",1358.92571239726,0.746685932958743,0.20443338452495,3.65246573935978,0.000259734258306733,0.0151861000850919
"PgR002_g153",750.528749153044,-0.984997411526912,0.272828430322107,-3.61031806825998,0.000305821750121202,0.0165156706710816
"PgR002_g157",1929.88328746343,-0.720249166653632,0.179827122134555,-4.00523101356595,6.19569011195989e-05,0.00589947711803571
"PgR002_g166",217.883061413547,-0.565877722160124,0.163867568457397,-3.45326245752675,0.000553849851881571,0.0234635204199659
"PgR002_g281",1129.01166648998,-0.559500392583725,0.153512209524367,-3.64466379786498,0.000267741571950332,0.0152183086284776
"PgR003_g034",12126.2673503735,-0.888763815836727,0.191989647654119,-4.62922780835499,3.67031818619408e-06,0.00111199518865359
"PgR003_g046",28.9143758888318,-1.70615847863136,0.527863787442437,-3.23219459114236,0.00122843371660495,0.0358072311913011
"PgR003_g080",3459.44733661764,0.540640612505429,0.128961455110141,4.19226513878655,2.76182944018951e-05,0.00321078729569939
"PgR003_g091",569.704685360605,-0.529836854076741,0.124006489461023,-4.27265424881878,1.93159845606237e-05,0.002459021862215
"PgR003_g103",1054.53200471762,-0.500756338437395,0.146308531097432,-3.42260519384152,0.000620240931007164,0.024924924208017
