Gene,Degree,Eigen,Closeness,Betweenness,Strengths
PgB03_g061,17,6.99177E-06,2.28373E-05,28617.61216,17
PgB02X_g129,4,5.014E-09,1.89915E-05,0,4
PgB03_g066,2,3.76801E-08,1.79073E-05,0,2
PgB03_g067,5,1.77647E-06,1.99888E-05,3440.460654,5
PgB03_g074,149,0.123505194,2.65527E-05,174313.0716,149
PgB01_g238,78,1.14488E-05,2.50677E-05,34952.72658,78
PgB03_g081,7,4.20415E-06,2.16591E-05,1815.35344,7
PgB03_g085,46,1.68922E-05,2.49831E-05,29456.59479,46
PgB03_g087,274,0.547137931,2.37886E-05,27609.54956,274
PgB03_g090,13,7.27641E-09,1.96464E-05,47374.60393,13
PgB03_g095,25,5.65822E-06,2.3541E-05,19371.73398,25
PgB03_g096,25,0.000113909,2.41587E-05,39640.81139,25
PgB03_g098,105,0.051997431,2.62612E-05,73228.40898,105
PgB03_g099,110,0.056940332,2.61138E-05,51052.33696,110
PgB03_g100,111,1.92505E-05,2.49744E-05,42846.19117,111
PgB03_g065,28,6.26695E-07,2.28854E-05,85388.14469,28
PgB03_g102,194,0.420249021,2.45044E-05,50430.47095,194
PgB01_g070,284,0.687521294,2.2941E-05,6869.42337,284
PgB03_g104,21,0.003191491,2.4812E-05,24256.567,21
PgB03_g106,102,0.214280746,2.35527E-05,6571.545296,102
PgB03_g107,18,7.26329E-06,2.35882E-05,1071.664152,18
PgB03_g109,211,0.494341334,2.29226E-05,14610.14323,211
PgB02X_g100,170,0.399378433,2.28029E-05,9205.580659,170
PgB03_g112,71,3.1184E-06,2.43712E-05,26051.1637,71
PgB02X_g181,13,2.57229E-06,2.31664E-05,91171.88548,13
PgB03_g114,135,0.000232283,2.68025E-05,54220.05431,135
PgB01_g064,65,1.16853E-05,2.53884E-05,42327.52327,65
PgB03_g116,15,1.74069E-05,2.35266E-05,2660.858139,15
PgB03_g123,18,2.08565E-06,2.33204E-05,6180.378317,18
PgB03_g126,36,0.051282614,2.14284E-05,320.3088626,36
PgB03_g128,2,1.3436E-06,1.97114E-05,5366.804152,2
PgB03_g130,181,0.371117636,2.25596E-05,2270.414916,181
PgB01_g041,35,8.89139E-06,2.42736E-05,18772.22564,35
PgB03_g135,58,2.10903E-05,2.42943E-05,17659.95397,58
PgB03_g137,41,0.008745027,2.3695E-05,98591.4258,41
PgB03_g138,15,1.3057E-05,2.34384E-05,11165.83489,15
PgB03_g139,26,2.6757E-05,2.44577E-05,18654.43225,26
PgB03_g140,39,0.000125135,2.55853E-05,34578.4272,39
PgB03_g141,48,0.000141926,2.58244E-05,29996.67388,48
PgB03_g146,12,0.004604659,2.20332E-05,5000.592373,12
PgB03_g147,11,0.003389819,2.16953E-05,6936.793678,11
PgB03_g153,15,8.21404E-07,2.27376E-05,4499.409224,15
PgB03_g156,13,7.77215E-09,1.9704E-05,9465.098723,13
PgB03_g157,72,3.25953E-05,2.5149E-05,36885.56243,72
PgB03_g162,148,0.278725753,2.35743E-05,16157.59805,148
PgB03_g171,179,0.354539002,2.4182E-05,20730.67011,179
PgB04_g002,68,3.47747E-06,2.41016E-05,13131.9807,68
PgB04_g003,37,1.15217E-06,2.33176E-05,50929.38583,37
PgB04_g004,22,0.000389171,2.43688E-05,25851.1057,22
PgB04_g005,70,3.04376E-05,2.62784E-05,77382.11241,70
PgB02X_g033,46,8.27014E-06,2.4286E-05,23847.21849,46
PgB04_g007,42,4.8418E-05,2.54227E-05,50663.83582,42
PgB04_g009,20,1.4446E-05,2.41645E-05,29519.18995,20
PgB04_g011,36,4.47827E-05,2.41587E-05,22980.67663,36
PgB04_g012,89,7.15978E-05,2.61575E-05,111745.0898,89
PgB04_g014,12,0.004902449,2.34088E-05,8923.767011,12
PgB01_g213,14,4.49076E-07,2.23284E-05,27379.27597,14
PgB04_g018,15,1.6056E-07,2.11995E-05,52207.29383,15
PgB04_g022,22,0.00140798,2.35145E-05,15262.30963,22
PgB04_g026,51,8.15819E-05,2.51149E-05,19019.07594,51
PgB04_g027,142,6.31406E-05,2.59936E-05,36910.91462,142
PgB04_g028,22,0.000305883,2.37361E-05,14692.13445,22
PgB04_g033,25,2.47891E-05,2.43303E-05,19088.00007,25
PgB02X_g191,16,2.97451E-06,2.25749E-05,7819.380339,16
PgB04_g043,53,1.76956E-05,2.52404E-05,50079.43105,53
PgB03_g118,23,0.000473315,2.41645E-05,21175.25049,23
PgB04_g044,38,0.05579879,2.34775E-05,31349.39239,38
PgB03_g145,8,0.001894356,2.07693E-05,1465.274803,8
PgB04_g045,11,0.000229736,2.28849E-05,4321.005514,11
PgB01_g019,52,0.001138328,2.56997E-05,92194.35363,52
PgB04_g048,15,0.000614442,2.36373E-05,19790.9279,15
PgB04_g049,38,6.22184E-06,2.48565E-05,31778.42814,38
PgB04_g050,81,0.181421432,2.3183E-05,13942.38335,81
PgB04_g051,44,0.000107773,2.42025E-05,20782.18834,44
PgB04_g053,38,4.86126E-07,2.22613E-05,10144.99334,38
PgB04_g054,31,1.18548E-05,2.402E-05,32240.09079,31
PgB04_g056,38,0.000533389,2.5546E-05,65570.4655,38
PgB04_g057,35,0.000293137,2.57248E-05,34116.04009,35
PgB02X_g027,26,1.34026E-05,2.51275E-05,23198.9227,26
PgB04_g066,127,1.45621E-05,2.50407E-05,30367.35861,127
PgB04_g067,30,3.53982E-05,2.49856E-05,16279.01128,30
PgB01_g143,39,0.000116212,2.55768E-05,45872.60763,39
PgB01_g103,190,0.42430706,2.26449E-05,2929.570101,190
PgB04_g075,113,0.208086418,2.35012E-05,22752.12589,113
PgB04_g019,7,0.003600853,1.97699E-05,188.0169505,7
PgB04_g078,6,7.29181E-06,2.16282E-05,2506.048357,6
PgB04_g081,22,5.94709E-05,2.43268E-05,14089.68881,22
PgB02X_g113,15,2.73391E-08,2.0414E-05,37214.38292,15
PgB04_g089,17,9.19819E-06,2.30707E-05,17771.47502,17
PgB04_g080,18,1.54704E-05,2.28838E-05,11054.28993,18
PgB04_g093,110,1.00764E-05,2.43582E-05,7325.883752,110
PgB02X_g202,16,9.15306E-07,2.33945E-05,61147.35256,16
PgB04_g111,102,8.54558E-05,2.67702E-05,97148.94477,102
