Gene.stable.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PgR033_g021,66.22,-2.86,1.99,-1.43,0.15,0.35
PgR033_g023,1700.71,0.30,0.27,1.11,0.27,0.49
PgR033_g024,737.14,-0.06,0.22,-0.25,0.80,0.90
PgR018_g036,29.94,3.38,0.76,4.47,#N/A,#N/A
PgR033_g027,2532.50,0.03,0.22,0.15,0.88,0.94
PgR033_g028,747.35,0.65,0.36,1.80,0.07,0.22
PgR033_g029,1377.48,-0.41,0.16,-2.52,0.01,0.07
PgR033_g030,176.84,6.21,0.88,7.08,0.00,0.00
PgR033_g031,621.38,0.46,0.27,1.72,0.08,0.24
PgR033_g032,1078.05,1.80,0.51,3.52,0.00,0.01
PgR033_g033,6545.65,-1.01,0.52,-1.92,0.05,0.18
PgR033_g034,468.09,0.13,0.24,0.52,0.61,0.78
PgR033_g035,851.29,0.03,0.21,0.12,0.90,0.95
PgR033_g038,48.91,-0.18,0.94,-0.19,0.85,0.92
PgR033_g039,929.33,0.47,0.69,0.68,0.50,0.70
PgR033_g040,58.12,1.22,0.47,2.59,0.01,0.06
PgR033_g041,1401.44,-0.77,0.33,-2.36,0.02,0.09
PgR033_g043,11.53,1.61,1.26,1.28,0.20,0.41
PgR033_g044,894.56,0.22,0.27,0.79,0.43,0.65
PgR033_g045,482.72,0.14,0.17,0.79,0.43,0.64
PgR033_g046,2471.70,-0.32,0.33,-0.95,0.34,0.56
PgR033_g047,3025.82,0.10,0.22,0.46,0.64,0.80
PgR033_g049,2332.42,-0.34,0.24,-1.39,0.17,0.37
PgR033_g050,100260.70,1.62,0.82,1.99,0.05,0.17
PgR033_g051,723.39,0.16,1.29,0.12,0.90,0.95
PgR033_g052,16.87,2.09,1.36,1.54,0.12,0.31
PgR033_g053,82.51,0.20,0.96,0.21,0.83,0.92
PgR033_g055,77.20,0.69,0.39,1.76,0.08,0.23
PgR033_g056,630.65,0.21,0.18,1.17,0.24,0.46
PgR033_g057,343.77,0.10,0.14,0.68,0.50,0.70
PgR033_g058,11.04,1.21,2.16,0.56,0.58,0.76
PgR033_g059,2.38,2.92,2.48,1.18,0.24,0.46
PgR033_g061,756.16,0.38,0.17,2.23,0.03,0.11
PgR033_g062,1000.89,0.00,0.20,-0.01,1.00,1.00
PgR033_g063,20.72,0.26,0.65,0.41,0.68,0.83
PgR033_g064,5.81,0.53,0.83,0.63,0.53,0.72
PgR033_g066,211.84,0.52,0.21,2.48,0.01,0.07
PgR033_g067,70.09,0.26,0.50,0.51,0.61,0.78
PgR033_g069,60.17,-0.84,0.60,-1.40,0.16,0.36
PgR033_g070,7.25,0.21,0.70,0.30,0.77,0.88
PgR033_g071,10.68,0.48,0.51,0.94,0.35,0.57
PgR033_g073,3249.96,-0.12,0.16,-0.78,0.43,0.65
PgR033_g075,595.94,0.61,0.14,4.25,0.00,0.00
PgR033_g076,657.62,0.31,0.19,1.61,0.11,0.28
PgR033_g077,35.73,0.58,0.81,0.71,0.48,0.68
PgR033_g078,25.28,4.33,0.99,4.39,0.00,0.00
PgR033_g079,2673.70,-0.76,0.43,-1.76,0.08,0.23
PgR033_g080,740.23,0.25,0.20,1.23,0.22,0.44
PgR033_g081,2.34,1.27,1.23,1.04,0.30,0.52
PgR033_g082,182.52,-0.38,0.54,-0.71,0.48,0.68
PgR033_g083,8339.06,-1.11,0.41,-2.71,0.01,0.05
PgR033_g084,69.59,-1.51,0.61,-2.47,0.01,0.07
PgR033_g085,11501.62,-0.09,0.09,-1.04,0.30,0.52
PgR033_g086,1069.86,-0.29,0.98,-0.29,0.77,0.88
PgR033_g087,10840.24,-0.80,0.51,-1.56,0.12,0.30
PgR033_g088,68.22,0.75,0.89,0.85,0.40,0.62
PgR033_g089,3327.26,-0.17,0.30,-0.56,0.57,0.76
PgR033_g091,39374.12,0.12,0.20,0.59,0.55,0.74
PgR033_g106,492.65,0.10,0.54,0.18,0.85,0.93
PgR034_g001,503.20,0.31,0.25,1.24,0.22,0.43
PgR034_g002,7.79,1.28,1.39,0.92,0.36,0.58
PgR034_g003,436.76,9.70,1.78,5.44,0.00,0.00
PgR034_g005,12.79,7.63,1.52,5.02,0.00,0.00
PgR034_g006,2228.83,-0.94,0.30,-3.13,0.00,0.02
PgR034_g007,602.21,-0.30,0.23,-1.35,0.18,0.38
PgR034_g008,381.32,0.32,0.21,1.53,0.13,0.31
PgR034_g009,830.09,0.79,0.31,2.60,0.01,0.06
PgR034_g010,14944.85,-0.43,0.23,-1.86,0.06,0.20
PgR034_g011,98.09,1.25,0.78,1.60,0.11,0.29
PgR034_g012,101.80,-0.15,0.44,-0.35,0.73,0.86
PgR034_g013,2756.28,-0.59,0.23,-2.62,0.01,0.06
PgR034_g014,140.86,0.82,0.75,1.10,0.27,0.49
PgR034_g015,24906.05,-0.43,0.18,-2.41,0.02,0.08
PgR034_g017,45.71,0.97,1.07,0.91,0.36,0.58
PgR034_g018,135.89,0.62,1.03,0.60,0.55,0.74
PgR034_g019,702.61,4.55,0.80,5.68,0.00,0.00
PgR034_g020,4122.03,-2.22,0.95,-2.35,0.02,0.09
PgR034_g021,10.00,2.95,1.69,1.74,0.08,0.24
PgR034_g022,1067.45,0.12,0.16,0.73,0.47,0.67
PgR034_g023,397.00,0.33,0.25,1.28,0.20,0.41
PgR034_g024,339.29,0.25,0.22,1.15,0.25,0.47
PgR034_g025,446.09,0.17,0.19,0.89,0.37,0.59
PgR034_g026,1408.54,-0.51,0.34,-1.48,0.14,0.33
PgR034_g027,58.57,0.11,0.73,0.15,0.88,0.94
PgR034_g028,2341.94,-0.64,0.16,-3.99,0.00,0.00
PgR034_g029,1879.69,0.01,0.18,0.06,0.95,0.98
PgR034_g030,150.82,0.40,0.24,1.67,0.10,0.26
PgR034_g031,132.24,2.79,0.89,3.13,0.00,0.02
PgR034_g032,35.27,0.69,0.97,0.71,0.48,0.69
PgR034_g033,28.53,3.11,1.38,2.25,0.02,0.11
PgR034_g034,7846.01,0.40,0.61,0.66,0.51,0.71
PgR034_g035,823.75,0.06,0.15,0.39,0.70,0.84
PgR034_g036,2263.78,-0.56,0.22,-2.58,0.01,0.06
PgR034_g037,1495.70,-0.16,0.20,-0.78,0.44,0.65
PgR034_g040,2.31,2.48,1.71,1.45,0.15,0.34
PgR034_g041,810.66,2.12,0.63,3.36,0.00,0.01
PgR034_g043,4.04,0.54,1.05,0.52,0.61,0.78
PgR034_g044,509.59,-0.18,0.47,-0.39,0.70,0.84
PgR034_g045,676.28,-0.07,0.28,-0.27,0.79,0.89
PgR034_g047,10.46,0.58,0.98,0.59,0.56,0.74
PgR034_g048,26572.64,-0.25,0.24,-1.03,0.31,0.53
PgR034_g050,801.44,0.53,0.27,1.95,0.05,0.18
PgR034_g051,116.17,4.18,1.03,4.07,0.00,0.00
PgR034_g052,6.89,-0.46,1.32,-0.34,0.73,0.86
PgR034_g053,9847.70,-0.41,0.30,-1.39,0.17,0.37
PgR034_g054,407.59,-0.03,0.28,-0.12,0.91,0.95
PgR034_g055,144.90,-0.04,0.55,-0.07,0.94,0.97
PgR034_g056,778.43,-0.02,0.24,-0.10,0.92,0.96
PgR034_g057,1529.94,-0.12,0.25,-0.50,0.62,0.79
PgR034_g058,1037.66,0.31,0.82,0.38,0.71,0.84
PgR034_g059,8.38,6.50,2.09,3.11,0.00,0.02
PgR034_g060,13.94,2.53,1.36,1.86,0.06,0.20
PgR034_g061,117.81,3.40,0.91,3.75,0.00,0.00
PgR034_g062,159.69,-0.01,0.39,-0.03,0.97,0.99
PgR034_g063,81190.10,-0.70,0.23,-3.09,0.00,0.02
PgR034_g064,1559.18,-0.47,0.51,-0.92,0.36,0.58
PgR034_g066,2117.59,-0.04,0.27,-0.13,0.89,0.95
PgR034_g067,263.80,0.41,0.36,1.15,0.25,0.47
PgR034_g069,1319.01,0.26,0.14,1.84,0.07,0.21
PgR034_g070,293.38,0.12,0.15,0.76,0.45,0.66
PgR034_g072,233.30,0.72,0.26,2.82,0.00,0.04
PgR034_g073,14.98,1.00,0.85,1.18,0.24,0.46
PgR034_g074,94.99,2.12,0.70,3.03,0.00,0.02
PgR034_g075,101.28,0.74,0.74,1.00,0.32,0.54
PgR026_g038,29.77,7.80,1.83,4.26,#N/A,#N/A
PgR116_g019,29.76,6.76,1.86,3.63,#N/A,#N/A
PgR034_g079,27.22,0.30,0.56,0.53,0.59,0.77
PgR034_g080,322.52,1.06,0.43,2.47,0.01,0.07
PgR034_g081,10.57,1.17,0.92,1.27,0.20,0.42
PgR034_g082,69.97,5.69,1.79,3.17,0.00,0.02
PgR034_g083,1463.74,-0.09,0.21,-0.43,0.67,0.82
PgR034_g084,2280.78,0.14,0.82,0.16,0.87,0.94
PgR034_g085,47.05,-0.25,0.84,-0.29,0.77,0.88
PgR034_g086,110.07,-1.25,1.17,-1.07,0.28,0.51
PgR034_g088,1096.69,0.61,0.30,2.02,0.04,0.16
PgR034_g089,584.94,1.03,0.43,2.41,0.02,0.08
PgR034_g090,30.02,7.86,2.35,3.34,0.00,0.01
PgR034_g091,180.48,0.19,0.80,0.24,0.81,0.91
PgR034_g092,39.88,7.08,1.51,4.69,0.00,0.00
PgR034_g094,393.74,0.26,0.32,0.81,0.42,0.63
PgR034_g095,131.44,0.28,0.43,0.65,0.52,0.71
PgR034_g096,1151.28,-0.40,0.26,-1.51,0.13,0.32
PgR034_g097,1203.51,-0.05,0.18,-0.27,0.78,0.89
PgR034_g100,518.81,1.00,0.28,3.54,0.00,0.01
PgR034_g101,619.59,0.51,0.32,1.61,0.11,0.28
PgR034_g102,430.65,0.37,0.22,1.70,0.09,0.25
PgR034_g103,1286.03,-0.03,0.16,-0.19,0.85,0.92
PgR034_g104,229.17,-0.17,0.35,-0.50,0.61,0.78
PgR034_g105,461.74,0.99,0.74,1.34,0.18,0.39
PgR034_g106,208.68,0.50,0.70,0.72,0.47,0.68
PgR034_g107,327.61,0.12,0.30,0.41,0.68,0.83
PgR034_g108,928.02,-0.22,0.31,-0.70,0.48,0.69
PgR034_g109,1054.95,0.70,0.27,2.62,0.01,0.05
PgR034_g110,164.69,0.35,0.24,1.43,0.15,0.35
PgR034_g111,483.00,0.23,0.23,1.03,0.30,0.53
PgR034_g113,261.41,0.31,0.27,1.11,0.27,0.49
PgR034_g114,582.63,0.26,0.29,0.91,0.36,0.59
PgR035X_g001,25.78,1.82,0.89,2.05,0.04,0.15
PgR035X_g002,55.03,0.66,1.49,0.44,0.66,0.81
PgR035X_g003,117.09,1.83,0.97,1.90,0.06,0.19
PgR035X_g004,432.86,1.26,0.56,2.25,0.02,0.11
PgR035X_g005,1530.22,-0.50,0.28,-1.77,0.08,0.23
PgR035X_g006,1180.78,-0.75,0.20,-3.76,0.00,0.00
PgR035X_g007,163.64,2.57,0.76,3.41,0.00,0.01
PgR035X_g008,236.31,0.16,0.29,0.54,0.59,0.77
PgR035X_g009,270.07,-0.70,1.03,-0.68,0.50,0.70
PgR035X_g010,408.55,0.57,0.96,0.60,0.55,0.74
PgR035X_g011,5400.05,-0.23,0.21,-1.09,0.28,0.50
PgR035X_g012,741.12,-0.35,0.23,-1.51,0.13,0.32
PgR035X_g013,24.50,-0.60,0.43,-1.39,0.16,0.37
PgR035X_g014,1749.60,0.13,0.19,0.67,0.50,0.70
PgR035X_g015,10.19,2.58,1.21,2.12,0.03,0.13
PgR035X_g016,4255.48,-0.75,0.25,-3.05,0.00,0.02
PgR035X_g017,1212.17,0.15,0.17,0.83,0.41,0.62
PgR035X_g018,777.90,-0.18,0.28,-0.66,0.51,0.71
PgR035X_g019,6068.54,-0.43,0.26,-1.63,0.10,0.27
PgR035X_g020,832.29,0.36,0.31,1.17,0.24,0.46
PgR035X_g021,224.56,-0.06,0.36,-0.16,0.87,0.94
PgR035X_g022,2982.11,-0.49,0.20,-2.43,0.02,0.08
PgR035X_g023,225.07,2.25,0.54,4.19,0.00,0.00
PgR035X_g024,482.68,-0.13,0.28,-0.45,0.65,0.81
PgR035X_g025,80.03,0.24,0.51,0.47,0.64,0.80
PgR035X_g026,320.08,1.67,0.63,2.63,0.01,0.05
PgR035X_g027,951.46,-0.37,0.25,-1.46,0.14,0.34
PgR035X_g028,2682.73,-0.15,0.20,-0.79,0.43,0.65
PgR035X_g029,856.08,-0.16,0.17,-0.93,0.35,0.58
PgR035X_g030,2805.31,0.03,0.20,0.14,0.89,0.95
PgR035X_g031,459.89,3.75,0.69,5.42,0.00,0.00
PgR035X_g032,1155.13,-0.03,0.16,-0.17,0.87,0.94
PgR035X_g033,3130.51,-0.41,0.27,-1.52,0.13,0.32
PgR035X_g034,1641.85,0.07,0.18,0.39,0.69,0.84
PgR035X_g035,110.26,3.11,0.68,4.60,0.00,0.00
PgR035X_g036,1791.57,-0.31,0.20,-1.54,0.12,0.31
PgR035X_g038,4084.71,0.42,0.39,1.08,0.28,0.50
PgR035X_g039,341.72,-0.19,0.88,-0.21,0.83,0.92
PgR035X_g040,2352.72,-0.35,0.28,-1.24,0.21,0.43
PgR035X_g041,1818.27,0.23,0.25,0.93,0.35,0.58
PgR035X_g042,3402.68,-0.25,0.22,-1.13,0.26,0.48
PgR035X_g044,152.95,0.11,0.48,0.24,0.81,0.91
PgR035X_g045,485.00,0.08,0.27,0.30,0.76,0.88
PgR035X_g046,28772.90,-0.50,0.50,-1.00,0.32,0.54
PgR035X_g047,3338.66,-0.43,0.16,-2.63,0.01,0.05
PgR035X_g050,19556.08,-0.09,0.23,-0.38,0.71,0.84
PgR035X_g051,1630.01,0.05,0.21,0.24,0.81,0.90
PgR035X_g052,6425.41,-0.45,0.17,-2.62,0.01,0.06
PgR035X_g053,31.97,1.91,1.31,1.46,0.14,0.34
PgR035X_g054,5.69,1.43,1.20,1.20,0.23,0.45
PgR035X_g056,455.71,0.03,0.19,0.17,0.87,0.94
PgR035X_g057,565.78,0.22,0.58,0.38,0.70,0.84
PgR035X_g058,439.47,-0.07,0.34,-0.22,0.83,0.92
PgR035X_g059,2120.10,-1.27,0.34,-3.75,0.00,0.00
PgR035X_g060,872.26,-0.48,0.18,-2.66,0.01,0.05
PgR035X_g061,17781.70,-0.35,0.21,-1.69,0.09,0.26
PgR035X_g062,115.30,0.49,0.59,0.83,0.40,0.62
PgR035X_g063,1145.23,-0.40,0.22,-1.80,0.07,0.22
PgR035X_g064,6441.09,-0.31,0.22,-1.42,0.16,0.36
PgR035X_g065,188.40,0.08,0.49,0.16,0.87,0.94
PgR035X_g066,415.65,-0.18,0.45,-0.40,0.69,0.83
PgR035X_g067,8.36,-0.45,0.79,-0.58,0.56,0.75
PgR035X_g068,47816.33,-0.37,0.22,-1.64,0.10,0.27
PgR035X_g069,2991.04,-0.25,0.18,-1.42,0.16,0.36
PgR035X_g070,14.73,2.45,1.20,2.05,0.04,0.15
PgR035X_g072,167.98,0.78,0.39,2.03,0.04,0.16
PgR035X_g073,941.21,0.05,0.19,0.28,0.78,0.89
PgR035X_g074,865.03,-0.11,0.47,-0.24,0.81,0.90
PgR035X_g075,2169.90,0.29,0.16,1.84,0.07,0.21
PgR035X_g076,1289.33,1.33,0.59,2.25,0.02,0.11
PgR035X_g077,530.15,2.68,0.83,3.22,0.00,0.01
PgR035X_g078,726.44,1.41,0.72,1.97,0.05,0.17
PgR035X_g079,348.37,1.34,0.54,2.48,0.01,0.07
PgR035X_g080,6427.95,0.37,0.32,1.16,0.25,0.46
PgR035X_g081,1493.40,-1.56,0.58,-2.70,0.01,0.05
PgR035X_g082,617.76,0.23,0.32,0.71,0.47,0.68
PgR035X_g083,24.46,0.37,0.55,0.68,0.49,0.70
PgR035X_g087,412.16,0.14,0.36,0.40,0.69,0.83
PgR035X_g088,1674.33,0.04,0.28,0.15,0.88,0.94
PgR035X_g089,1759.05,0.42,0.19,2.18,0.03,0.12
PgR035X_g090,6090.45,-0.34,0.26,-1.32,0.19,0.40
PgR035X_g091,4899.25,0.18,0.26,0.72,0.47,0.68
PgR035X_g092,956.83,-0.55,0.43,-1.30,0.20,0.41
PgR035X_g093,72.06,0.32,0.62,0.51,0.61,0.78
PgR035X_g094,1784.86,1.07,0.79,1.35,0.18,0.39
PgR035X_g095,225.57,0.72,0.82,0.88,0.38,0.60
PgR035X_g096,28.88,0.40,0.96,0.42,0.68,0.83
PgR035X_g098,15858.15,-0.70,0.24,-2.85,0.00,0.03
PgR035X_g101,735.08,0.09,0.29,0.31,0.76,0.88
PgR035X_g102,304.72,0.73,0.34,2.15,0.03,0.13
PgR035X_g103,63.29,0.28,0.69,0.41,0.68,0.83
PgR035X_g104,5.80,2.70,1.57,1.72,0.09,0.24
PgR035X_g105,356.07,3.03,0.81,3.75,0.00,0.00
PgR035X_g106,88.16,1.75,1.04,1.68,0.09,0.26
PgR035X_g107,465.09,3.72,1.15,3.25,0.00,0.01
PgR035X_g109,225.00,0.68,0.31,2.20,0.03,0.12
PgR035X_g110,3407.23,0.22,0.41,0.53,0.59,0.77
PgR035X_g111,350.14,-0.30,0.36,-0.82,0.41,0.63
PgR035X_g113,1233.88,0.20,0.21,0.95,0.34,0.57
PgR035X_g114,985.68,-0.34,0.14,-2.44,0.01,0.08
PgR035X_g115,750.11,-0.10,0.21,-0.46,0.64,0.80
PgR035X_g116,191.46,2.36,0.40,5.92,0.00,0.00
PgR035X_g118,9.56,2.22,1.15,1.94,0.05,0.18
PgR035X_g119,1292.67,-0.29,0.34,-0.85,0.39,0.61
PgR035X_g121,118.79,0.24,0.22,1.08,0.28,0.50
PgR035X_g122,2010.25,0.12,0.18,0.65,0.51,0.71
PgR035X_g123,193.73,0.53,0.21,2.49,0.01,0.07
PgR036_g001,618.04,0.28,0.30,0.94,0.35,0.57
PgR036_g002,3.38,2.73,1.48,1.85,0.06,0.20
PgR036_g004,267.26,-0.23,0.30,-0.78,0.43,0.65
PgR036_g005,646.53,-2.30,0.74,-3.11,0.00,0.02
PgR036_g006,395.23,1.40,0.36,3.86,0.00,0.00
PgR036_g007,212.78,1.48,0.42,3.52,0.00,0.01
PgR036_g008,1800.12,-0.57,0.24,-2.42,0.02,0.08
PgR036_g009,899.47,-0.67,0.37,-1.79,0.07,0.22
PgR036_g010,3543.04,-0.53,0.30,-1.75,0.08,0.24
PgR036_g011,2844.18,-0.28,0.50,-0.55,0.58,0.76
PgR036_g012,2606.46,0.25,0.20,1.22,0.22,0.44
PgR036_g013,485.65,-0.28,0.22,-1.27,0.21,0.42
PgR036_g014,2.94,0.32,1.43,0.22,0.82,0.91
PgR036_g015,35996.64,-0.70,0.28,-2.48,0.01,0.07
PgR036_g016,1864.46,-0.31,0.32,-0.98,0.33,0.55
PgR036_g017,276.60,0.24,0.20,1.22,0.22,0.44
PgR036_g018,694.19,-0.26,0.31,-0.85,0.40,0.61
PgR036_g019,1154.30,0.86,0.31,2.74,0.01,0.04
PgR036_g020,500.97,0.14,0.39,0.36,0.72,0.85
PgR036_g021,106.09,0.60,0.34,1.77,0.08,0.23
PgR036_g022,5.94,-1.82,1.17,-1.55,0.12,0.30
PgR036_g023,2144.22,0.60,0.28,2.16,0.03,0.13
PgR036_g024,947.52,-0.14,0.28,-0.51,0.61,0.78
PgR036_g025,203.77,-0.55,0.50,-1.10,0.27,0.49
PgR036_g026,408.24,0.03,0.18,0.14,0.89,0.95
PgR036_g027,77.60,0.48,0.37,1.29,0.20,0.41
PgR036_g028,4.32,2.85,1.51,1.88,0.06,0.19
PgR036_g029,192.07,-0.14,0.32,-0.45,0.66,0.81
PgR036_g030,846.10,-0.04,0.20,-0.23,0.82,0.91
PgR036_g031,336.15,0.67,0.28,2.36,0.02,0.09
PgR036_g032,157.20,0.01,0.36,0.02,0.98,0.99
PgR036_g033,15.92,7.85,1.20,6.54,0.00,0.00
PgR036_g034,18.33,3.68,0.84,4.38,0.00,0.00
PgR036_g036,2620.26,3.02,0.49,6.20,0.00,0.00
PgR036_g037,329.48,-0.10,0.25,-0.43,0.67,0.82
PgR036_g039,11985.94,-0.65,0.17,-3.79,0.00,0.00
PgR036_g040,1422.79,-0.49,0.26,-1.87,0.06,0.20
PgR036_g041,396.28,0.15,0.23,0.63,0.53,0.72
PgR036_g043,24.51,0.05,0.49,0.11,0.91,0.96
PgR036_g044,1057.22,0.03,0.22,0.12,0.91,0.95
PgR036_g045,72816.37,-1.73,0.76,-2.27,0.02,0.10
PgR036_g046,68485.21,2.75,0.60,4.54,0.00,0.00
PgR036_g047,367.19,3.36,0.75,4.51,0.00,0.00
PgR036_g048,1011.97,0.31,0.17,1.86,0.06,0.20
PgR036_g049,209.86,2.58,0.76,3.38,0.00,0.01
PgR036_g050,1332.18,0.27,0.37,0.73,0.46,0.67
PgR036_g052,233.00,0.69,0.65,1.05,0.29,0.52
PgR036_g053,3179.45,-0.35,0.24,-1.42,0.16,0.36
PgR036_g057,6691.95,2.42,0.86,2.81,0.00,0.04
PgR036_g058,792.43,0.56,0.38,1.45,0.15,0.34
PgR036_g059,36.55,-3.10,1.42,-2.18,0.03,0.12
PgR036_g060,399.36,-0.45,0.42,-1.07,0.28,0.51
PgR036_g061,3250.72,-0.70,0.23,-3.00,0.00,0.02
PgR036_g062,2420.03,-0.28,0.16,-1.82,0.07,0.21
PgR036_g064,1736.55,-0.43,0.18,-2.40,0.02,0.08
PgR036_g066,503.95,0.22,0.20,1.12,0.26,0.49
PgR036_g067,486.23,1.15,1.17,0.98,0.33,0.55
PgR036_g068,73.51,4.99,0.92,5.41,0.00,0.00
PgR036_g069,18900.15,-0.70,0.22,-3.23,0.00,0.01
PgR036_g070,205.52,-0.20,0.39,-0.53,0.60,0.77
PgR036_g071,375.94,-0.14,0.34,-0.42,0.67,0.82
PgR036_g072,1042.18,-2.39,0.62,-3.85,0.00,0.00
PgR036_g073,571.29,-2.27,0.67,-3.38,0.00,0.01
PgR036_g075,10.58,4.14,1.85,2.24,0.03,0.11
PgR036_g076,16.93,0.82,2.01,0.41,0.68,0.83
PgR036_g077,186.91,0.66,0.25,2.70,0.01,0.05
PgR036_g078,829.13,0.46,0.14,3.40,0.00,0.01
PgR036_g079,5001.20,-0.41,0.19,-2.18,0.03,0.12
PgR036_g080,5.42,3.61,1.22,2.97,0.00,0.03
PgR036_g082,100.10,2.11,1.04,2.02,0.04,0.16
PgR036_g083,243.69,-0.23,0.24,-0.97,0.33,0.56
PgR036_g084,551.07,-0.37,0.22,-1.64,0.10,0.27
PgR036_g085,6338.01,-0.49,0.31,-1.55,0.12,0.30
PgR036_g086,66.13,1.29,1.01,1.28,0.20,0.41
PgR036_g087,287.85,0.21,0.38,0.56,0.57,0.76
PgR036_g088,99.24,0.81,0.46,1.75,0.08,0.23
PgR036_g089,669.31,0.47,0.45,1.03,0.30,0.52
PgR036_g090,311.04,0.01,0.19,0.03,0.97,0.99
PgR036_g091,547.24,-0.32,0.17,-1.93,0.05,0.18
PgR036_g092,292.70,-0.16,0.27,-0.58,0.56,0.75
PgR036_g093,1126.47,0.02,0.26,0.08,0.93,0.97
PgR036_g094,578.63,0.11,0.50,0.21,0.83,0.92
PgR036_g095,265.97,-0.86,2.13,-0.40,0.69,0.83
PgR036_g096,104.70,3.88,1.08,3.59,0.00,0.00
PgR036_g097,534.30,0.26,0.26,1.00,0.32,0.54
PgB05_g023,29.34,9.24,1.49,6.19,#N/A,#N/A
PgR036_g099,3247.20,6.61,1.00,6.58,0.00,0.00
PgR036_g102,14152.96,3.90,0.77,5.09,0.00,0.00
PgR036_g105,13.15,7.05,2.04,3.45,0.00,0.01
PgR036_g106,4965.50,-0.56,0.45,-1.24,0.21,0.43
PgR036_g107,351.21,0.20,0.19,1.08,0.28,0.50
PgR036_g108,343.94,0.11,0.20,0.57,0.57,0.75
PgR036_g109,810.48,-0.04,0.19,-0.21,0.83,0.92
PgR036_g110,29.46,0.38,0.34,1.10,0.27,0.49
PgR036_g111,2416.08,-0.42,0.22,-1.86,0.06,0.20
PgR036_g112,150.77,0.16,0.22,0.72,0.47,0.68
PgR036_g113,22592.21,-0.38,0.22,-1.78,0.07,0.22
PgR036_g114,549.53,-0.33,0.24,-1.39,0.16,0.37
PgR036_g115,109.17,-3.15,1.00,-3.16,0.00,0.02
PgR036_g116,338.83,0.26,0.29,0.90,0.37,0.59
PgR036_g117,240.28,0.01,0.26,0.03,0.98,0.99
PgR036_g118,8348.78,-0.20,0.18,-1.13,0.26,0.48
PgR036_g119,7.62,-0.38,1.80,-0.21,0.83,0.92
PgR036_g120,291.40,-0.59,0.87,-0.68,0.49,0.70
PgR036_g121,316.14,0.46,0.64,0.73,0.47,0.67
PgR036_g122,1181.03,-0.19,0.23,-0.85,0.40,0.62
PgR036_g123,696.17,-0.26,0.44,-0.58,0.56,0.75
PgR036_g124,70.03,1.33,0.45,2.98,0.00,0.02
PgR036_g126,8152.34,-0.77,0.35,-2.21,0.03,0.12
PgR037_g001,13114.28,-0.12,0.16,-0.77,0.44,0.65
PgR037_g002,1156.20,0.07,0.33,0.22,0.83,0.91
PgR037_g004,4.62,2.17,1.52,1.43,0.15,0.35
PgR037_g005,29.29,5.03,1.22,4.12,0.00,0.00
PgR037_g006,1247.00,2.07,1.06,1.97,0.05,0.17
PgR037_g007,634.84,0.33,0.19,1.74,0.08,0.24
PgR037_g008,137.01,0.93,0.71,1.31,0.19,0.40
PgR037_g009,15.31,-1.36,1.79,-0.76,0.45,0.66
PgR037_g012,687.40,1.75,0.76,2.31,0.02,0.10
PgR037_g013,21.02,0.63,1.05,0.60,0.55,0.74
PgR037_g014,404.96,0.32,0.53,0.61,0.54,0.73
PgR037_g015,2776.05,-0.22,0.36,-0.62,0.54,0.73
PgR037_g016,666.77,-0.08,0.21,-0.38,0.70,0.84
PgR037_g017,190.60,0.34,0.74,0.46,0.65,0.80
PgR037_g018,268.80,-0.20,0.23,-0.91,0.36,0.59
PgR037_g020,745.66,0.13,0.23,0.57,0.57,0.75
PgR037_g021,3.78,1.55,1.68,0.92,0.36,0.58
PgR037_g023,704.82,0.64,0.69,0.93,0.35,0.57
PgR037_g024,237.97,0.61,0.31,1.95,0.05,0.18
PgR037_g025,550.24,0.03,0.26,0.10,0.92,0.96
PgR037_g026,4.86,-0.90,1.06,-0.85,0.40,0.62
PgR037_g027,3.68,0.23,1.57,0.15,0.88,0.94
PgR037_g029,9.24,1.46,1.49,0.98,0.33,0.55
PgR037_g030,6.97,-0.02,1.63,-0.01,0.99,0.99
PgR037_g033,166.86,-0.36,1.07,-0.34,0.73,0.86
PgR037_g034,4410.57,-0.77,0.36,-2.14,0.03,0.13
PgR037_g035,683.63,-0.53,0.45,-1.18,0.24,0.46
PgR037_g036,590.45,-0.05,0.19,-0.26,0.80,0.90
PgR037_g038,142.96,0.07,1.61,0.04,0.97,0.98
PgR037_g039,1.64,0.63,2.21,0.28,0.78,0.88
PgR037_g041,2235.81,4.26,0.65,6.51,0.00,0.00
PgR037_g042,2425.70,-1.04,0.26,-3.96,0.00,0.00
PgR037_g043,5.84,-0.16,1.51,-0.10,0.92,0.96
PgR037_g044,28.57,5.33,1.44,3.71,0.00,0.00
PgR037_g045,2787.31,0.15,0.26,0.59,0.55,0.74
PgR037_g047,722.31,0.72,0.30,2.37,0.02,0.09
PgR037_g048,9881.86,0.73,0.36,2.00,0.05,0.16
PgR037_g049,276.17,-0.03,0.54,-0.06,0.95,0.98
PgR037_g050,231.19,0.23,0.65,0.36,0.72,0.85
PgR037_g051,414.30,-0.06,0.54,-0.10,0.92,0.96
PgR037_g052,3235.55,-0.34,0.48,-0.71,0.48,0.69
PgR037_g053,42.57,-0.80,0.89,-0.90,0.37,0.59
PgR037_g055,38.31,-1.23,1.30,-0.94,0.35,0.57
PgR037_g056,13414.92,-0.97,0.40,-2.42,0.02,0.08
PgR037_g057,5524.89,1.20,0.56,2.14,0.03,0.13
