Gene.stable.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PgB06_g106,3042.83,-0.93,0.39,-2.36,0.02,0.09
PgB06_g107,93.34,-0.14,0.33,-0.43,0.67,0.82
PgB06_g108,9011.69,-0.13,0.34,-0.37,0.71,0.84
PgB06_g109,4.74,-1.30,1.07,-1.22,0.22,0.44
PgB06_g110,36.19,0.65,1.01,0.65,0.52,0.72
PgB06_g112,162.34,-0.45,0.61,-0.74,0.46,0.67
PgB06_g113,2044.56,-0.09,0.37,-0.25,0.80,0.90
PgB06_g114,296.35,-0.17,0.54,-0.31,0.76,0.87
PgB06_g115,1370.74,-0.37,0.26,-1.44,0.15,0.35
PgB06_g116,1968.90,-0.04,0.20,-0.21,0.83,0.92
PgB06_g117,4.59,1.38,1.20,1.14,0.25,0.47
PgB06_g118,478.21,0.59,0.27,2.14,0.03,0.13
PgB06_g119,5202.46,-0.64,0.25,-2.51,0.01,0.07
PgB06_g120,3023.44,-0.19,0.22,-0.86,0.39,0.61
PgB06_g121,4273.44,-0.42,0.20,-2.09,0.04,0.14
PgB06_g123,571.44,0.35,0.23,1.56,0.12,0.30
PgB06_g124,1970.28,0.13,0.14,0.94,0.35,0.57
PgB06_g125,856.73,-0.14,0.23,-0.63,0.53,0.72
PgB07_g001,158.41,-0.30,0.49,-0.62,0.54,0.73
PgB07_g002,1248.09,0.12,0.36,0.34,0.74,0.86
PgB07_g003,400.69,0.39,0.71,0.56,0.58,0.76
PgB07_g005,260.34,2.10,0.56,3.78,0.00,0.00
PgB07_g006,2748.29,-0.52,0.22,-2.35,0.02,0.09
PgB07_g007,960.56,-0.03,0.29,-0.09,0.93,0.97
PgB07_g008,7595.64,-0.76,0.16,-4.75,0.00,0.00
PgB07_g009,6548.82,2.19,0.48,4.58,0.00,0.00
PgB07_g011,0.65,2.22,8.08,0.27,0.78,0.89
PgB07_g013,1.30,2.63,1.81,1.45,0.15,0.34
PgB07_g014,2356.26,-0.12,0.23,-0.51,0.61,0.78
PgB07_g016,66.21,-1.84,1.45,-1.26,0.21,0.42
PgB07_g017,32.86,1.22,1.11,1.10,0.27,0.50
PgB07_g018,842.36,0.07,0.24,0.31,0.76,0.88
PgB07_g019,1100.84,0.23,0.30,0.79,0.43,0.65
PgB07_g020,1825.48,0.87,0.90,0.97,0.33,0.56
PgB07_g021,55.56,0.53,0.96,0.55,0.58,0.76
PgB07_g022,1582.93,0.31,0.22,1.38,0.17,0.37
PgB07_g023,112.50,-0.32,0.41,-0.78,0.43,0.65
PgB07_g024,2774.87,-0.38,0.28,-1.39,0.16,0.37
PgB07_g025,3621.10,-0.60,0.30,-2.00,0.05,0.16
PgB07_g026,1143.90,0.21,0.23,0.93,0.35,0.58
PgB07_g027,317.99,0.14,0.33,0.43,0.67,0.82
PgB07_g028,136.03,-0.01,0.34,-0.02,0.99,0.99
PgB07_g029,20.94,3.35,1.04,3.23,0.00,0.01
PgB07_g030,2450.43,-0.72,0.22,-3.22,0.00,0.01
PgB07_g033,25.90,1.88,0.81,2.32,0.02,0.10
PgB07_g034,8263.56,0.85,0.47,1.79,0.07,0.22
PgB07_g035,2976.65,-0.04,0.52,-0.07,0.94,0.97
PgB07_g036,861.78,0.19,0.24,0.82,0.41,0.63
PgB07_g037,223.14,0.44,0.23,1.94,0.05,0.18
PgB07_g038,433.79,0.33,0.19,1.79,0.07,0.22
