"__AggregationOverrideSettings","__AggregationSettings","__ViewSettings","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","NumChildren","NumDescendents","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"","","","1.6886912325285897","0.0032407775590089006","0.5921745673438675","0.6075450915599615","270",,"4","false","PgR026_g047","263.07037037037037","0","270",,,"0","0.9983983924824916","true","0","PgR026_g047","116804","0.34478423377505946"
"","","","1.6238881829733165","0.005205365087057949","0.6158059467918623","0.5039783480189658","314",,"4","false","PgR026_g098","243.7420382165605","0","314",,,"0","0.9985490972488993","true","0","PgR026_g098","183106","0.3165481015799487"
"","","","1.7674714104193139","0.0012330265981351884","0.5657800143781452","0.648529602280088","249",,"4","false","PgR027_g032","265.0722891566265","0","249",,,"0","0.9982151827664667","true","0","PgR027_g032","58064","0.36612194634893164"
"","","","1.9479034307496823","5.80972287534826E-4","0.5133724722765819","0.5538461538461539","91",,"4","false","PgR027_g038","236.5934065934066","0","91",,,"0","0.9977955734168612","true","0","PgR027_g038","20422","0.3201534595309967"
"","","","1.721728081321474","0.002216560192185293","0.5808118081180812","0.5660059593211556","249",,"4","false","PgR027_g050","261.2570281124498","0","249",,,"0","0.9983215626015779","true","0","PgR027_g050","78336","0.3446662640005934"
"","","","1.5870393900889455","0.0020090419164786434","0.6301040832666133","0.6007906403546678","354",,"4","false","PgR027_g064","267.51129943502826","0","354",,,"0","0.9986347921160722","true","0","PgR027_g064","100790","0.35245230492098584"
"","","","1.9453621346886911","4.326048845046103E-4","0.5140431090790334","0.6179123711340206","97",,"4","false","PgR027_g144","263.74226804123714","0","97",,,"0","0.9978014834077007","true","0","PgR027_g144","14530","0.35932189106435575"
"","","","1.4866581956797966","0.004513705535596722","0.6726495726495727","0.5160502205632846","421",,"3","false","PgR027_g149","250.09501187648456","0","421",,,"0","0.998868236754233","true","0","PgR027_g149","203770","0.3247987167227072"
"","","","1.6480304955527318","0.0038424148611769125","0.6067848882035467","0.5427201783723523","300",,"4","false","PgR028_g039","251.98666666666668","0","300",,,"0","0.9984929523359238","true","0","PgR028_g039","120952","0.32939433551198255"
"","","","1.6556543837357052","0.0036572201472550698","0.6039907904834997","0.5530635462376077","294",,"3","false","PgR028_g045","255.20068027210885","0","294",,,"0","0.9984752223634054","true","0","PgR028_g045","129854","0.33403230402108486"
"","","","1.9783989834815756","4.759756844020787E-4","0.5054592164418754","0.5218354430379747","80",,"4","false","PgR028_g068","219.3875","0","80",,,"0","0.9977246535267871","true","0","PgR028_g068","15354","0.30260344827586205"
"","","","1.664548919949174","0.0015655215811211758","0.600763358778626","0.5850763884335454","303",,"4","false","PgR028_g090","264.003300330033","0","303",,,"0","0.998454537395467","true","0","PgR028_g090","81240","0.352004400440044"
"","","","1.6238881829733165","0.001940031063179974","0.6158059467918623","0.6237599761318714","328",,"4","false","PgR029_g048","272.4024390243902","0","328",,,"0","0.9985490972488993","true","0","PgR029_g048","96130","0.359844701485324"
"","","","1.6099110546378652","0.0014181926498363993","0.6211523283346488","0.6205489614243324","337",,"4","false","PgR029_g053","271.9080118694362","0","337",,,"0","0.9985816021985167","true","0","PgR029_g053","83082","0.35871769375915064"
"","","","1.6238881829733165","0.0015335153246905213","0.6158059467918623","0.6171880791756246","329",,"4","false","PgR029_g076","272.0243161094225","0","329",,,"0","0.9985490972488993","true","0","PgR029_g076","86568","0.36029710742969867"
"","","","1.664548919949174","0.0013352139886345035","0.600763358778626","0.6312596279179997","291",,"4","false","PgR029_g096","271.8213058419244","0","291",,,"0","0.998454537395467","true","0","PgR029_g096","64528","0.35718962659911224"
"","","","1.5628970775095299","0.0038772475471768263","0.6398373983739837","0.5563299713984645","365",,"4","false","PgR030_g010","259.2","0","365",,,"0","0.9986909370290475","true","0","PgR030_g010","150014","0.3379400260756193"
"","","","1.7534942820838628","0.00247957057410995","0.5702898550724638","0.567787610619469","226",,"4","false","PgR030_g030","258.7345132743363","0","226",,,"0","0.9982476877160841","true","0","PgR030_g030","91584","0.342241419675048"
"","","","1.5031766200762389","0.0062432713340047335","0.665257819103973","0.49735973597359734","405",,"3","false","PgR030_g046","244.3604938271605","0","405",,,"0","0.9988298218137761","true","0","PgR030_g046","223230","0.31611965566256206"
"","","","1.846251588310038","6.255831414790112E-4","0.5416379903647626","0.6432300730943264","170",,"4","false","PgR030_g099","276.1764705882353","0","170",,,"0","0.9980319730504418","true","0","PgR030_g099","29542","0.3737164689962589"
"","","","1.9123252858958069","0.004202226785209411","0.5229235880398672","0.5136612021857924","123",,"4","false","PgR031_g024","240.83739837398375","0","123",,,"0","0.9978783132886144","true","0","PgR031_g024","117482","0.3285528898945197"
"","","","2.062261753494282","0.0019706987816597993","0.4849044978434997","0.6196808510638298","48",,"4","false","PgR031_g028","248.5625","0","48",,,"0","0.9975296238290831","true","0","PgR031_g028","47822","0.3596840328027014"
"","","","1.6340533672172808","0.0015241992566182715","0.6119751166407466","0.6598416760907089","318",,"3","false","PgR031_g050","279.685534591195","0","318",,,"0","0.9985254572855412","true","0","PgR031_g050","82954","0.3694656995920673"
"","","","1.744599745870394","0.002781171765641533","0.57319737800437","0.5774504455355519","235",,"4","false","PgR031_g085","256.6255319148936","0","235",,,"0","0.9982683726840224","true","0","PgR031_g085","104432","0.3399013667746935"
